Method,model,max gap,sup pos,sup neg,accuracy,precision,recall,f1 score,auc roc
RTP,svm,7,0.1,0.1,0.8405063291139241,0.7673956262425448,0.9772151898734176,0.8596881959910913,0.8826406024675533
RTP,svm,7,0.1,0.15,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.887098221438872
RTP,svm,7,0.1,0.2,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,7,0.1,0.25,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,7,0.1,0.3,0.839240506329114,0.7690763052208835,0.9696202531645568,0.8577827547592385,0.8855311648774233
RTP,svm,7,0.15,0.1,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.90846979650697
RTP,svm,7,0.15,0.15,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.910129786893126
RTP,svm,7,0.15,0.2,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,7,0.15,0.25,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,7,0.15,0.3,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9119371895529562
RTP,svm,7,0.2,0.1,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.9040057683063611
RTP,svm,7,0.2,0.15,0.8316455696202532,0.7630522088353414,0.9620253164556962,0.8510638297872342,0.9070405383752604
RTP,svm,7,0.2,0.2,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.905374138759814
RTP,svm,7,0.2,0.25,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.906268226245794
RTP,svm,7,0.2,0.3,0.830379746835443,0.7625754527162978,0.959493670886076,0.8497757847533631,0.906268226245794
